Record Number,Common Name,Code,Latitude,Longitude,GPS certainty_meters,Locality,Elev_meters,Date,Observer,Breeding Evidence,Observation,Nest Species_Structure,Nest hgt meters,Comments,Sources,Photo,Photo Link,Scientific Name,
7884,House Wren,HOWR,34.94015,-120.17808,15,"Sierra Madre Mtns, Colson Cyn",524,27-Apr-2019,"Courtney, S.",Carrying Nesting Material,Adults carrying nesting material to cavity,Western Sycamore,6,,ID941,https://tinyurl.com/y6bsu7qt,https://tinyurl.com/y6bsu7qt,#REF!,
7885,Oak Titmouse,OATI,34.9401,-120.17804,20,"Sierra Madre Mtns, Colson Cyn",525,27-Apr-2019,"Holmgren, M.",Cavity Nester Attending Cavity,Adult entering cavity.,Western Sycamore,6.5,None,ID942,,,#REF!,
7886,White-throated Swift,WTSW,34.9395,-120.19313,25,"Sierra Madre Mtns, Colson Cyn",440,27-Apr-2019,"Courtney, S.",Copulation,Copulation in flight,,,,ID943,,,#REF!,
7887,Red-tailed Hawk,RTHA,34.93929,-120.19339,20,"Sierra Madre Mtns, Colson Cyn",440,27-Apr-2019,"Courtney, S.",Adult at Nest (clarify),Adult sitting on rim of nest for 20 minutes while glaring at observers.,cliff,50,,ID944,https://tinyurl.com/yyccersb,https://tinyurl.com/yyccersb,#REF!,
7888,Red-tailed Hawk,RTHA,34.37956,-119.47328,10,"Carpinteria, Rincon Ck",24,28-Apr-2019,"Callender, J.",Nestling in Nest,One nestling seen in nest; two adults flying nearby.,Western Sycamore,15,[Editor's note: Also a nest record from here from 1992.] eBird S55530405,ID945,,,#REF!,
7889,Nuttall's Woodpecker,NUWO,34.93966,-120.19349,15,"Sierra Madre Mtns, Colson Cyn",451,27-Apr-2019,"Holmgren, M.",Delivering Food to Nest or Cavity,Adult trying to deliver to cavity. Male finally delivers load of smallish food.,Bigleaf Maple,10,,ID946,,,#REF!,
7890,European Starling,EUST,34.92394,-120.21948,10,"Sierra Madre Mtns, Colson Cyn",272,27-Apr-2019,"Holmgren, M.",Delivering Food to Nest or Cavity,Both members of pair deliver food to cavity.,Western Sycamore,9,dead Western Sycamore,ID947,,,#REF!,
7891,Cliff Swallow,CLSW,34.79695,-120.18513,10,Foxen Cyn,282,27-Apr-2019,"Holmgren, M.",Nest Building,Nest under eaves on 3 sides of barn. Minimum of 30 swallows visible. Many nests not visible. Mud apparently in ditch nearby.,building,15,,ID948,,,#REF!,
7892,Red-tailed Hawk,RTHA,34.58503,-120.09947,20,Santa Ynez River nr Refugio Rd,129,28-Apr-2019,"Holmgren, M.",Adult at Nest (clarify),adult on edge of nest looking down,Western Sycamore,20,,ID949,,,#REF!,
7893,Red-tailed Hawk,RTHA,34.57763,-120.1025,50,"Santa Ynez Valley, Refugio Rd",135,28-Apr-2019,"Holmgren, M.",Nestling in Nest,Nest with 2 downy babies large enough to stand on the nest edge. Tail and wing was partially grown out but head gray and downy.,Western Sycamore,25,,ID950,https://tinyurl.com/y3ns9r87,https://tinyurl.com/y3ns9r87,#REF!,
7894,White-breasted Nuthatch,WBNU,34.56148,-120.08689,10,"Santa Ynez Valley, Quiota Ck",189,28-Apr-2019,"Gaskin, L.",Nestling in Nest,Both members of pair delivering food several times. Twice something white was carried out of the nest and released.,Valley Oak,6,dead Valley Oak,ID951,https://tinyurl.com/y3ykjb5e,https://tinyurl.com/y3ykjb5e,#REF!,
7895,Oak Titmouse,OATI,34.55969,-120.08485,5,"Santa Ynez Valley, Quiota Ck",194,28-Apr-2019,"Gaskin, L.",Delivering Food to Nest or Cavity,Both members of pair delivering food to cavity in dead Alder.,White Alder,6,dead White Alder,ID952,https://tinyurl.com/y6t56e49,https://tinyurl.com/y6t56e49,#REF!,
7896,Northern Pygmy-Owl,NOPO,34.73739,-119.9853,30,"San Rafael Mtns, Figueroa Mtn, Pino Alto Rd",1169,17-Jul-2018,"Liu, J.",Fledgling under Parental Care,Recently fledged young with adult around 11 AM,,,eBird S47403297,ID953,,,#REF!,
7897,Ash-throated Flycatcher,ATFL,34.55988,-120.08514,10,"Santa Ynez Valley, Quiota Ck",193,28-Apr-2019,"Holmgren, M.",Nest Building,Carrying nest material to vertical pole,fence post,1.7,,ID954,https://tinyurl.com/y4s6nr3e,https://tinyurl.com/y4s6nr3e,#REF!,
7898,Black-chinned Hummingbird,BCHU,34.5117,-119.81497,15,"Santa Ynez Mtns, Old Ogram Rd",666,28-Apr-2019,"Holmgren, M.",Adult at Nest (clarify),"nest with adult female on it, frequently returning to it.",California Bay,5,,ID955,https://tinyurl.com/y5g9twgu,https://tinyurl.com/y5g9twgu,#REF!,
7899,Northern Rough-winged Swallow,NRWS,34.4416,-119.80505,2,"Goleta, Maria Ygnacia Ck",20,29-Apr-2019,"Pearlman, K.",Carrying Nesting Material,Carrying nesting material (twig) into circular opening in Hwy 101 southbound overpass under-structure,bridge,20,"10-20 NRWSs observed flying around and under the 101, and many flying into and out of different circular openings in the overpass. I finally got a clear look at one bird carrying a twig into an opening.",ID956,,,#REF!,
7900,Red-tailed Hawk,RTHA,34.45918,-119.76032,10,"San Marcos Foothills, Atascadero Ck",107,29-Apr-2019,"Mulroy, M.",Nestling in Nest,"Adult trailing fibrous material, like tree bark, long and thin with multiple ends (as if it were a light material) to one of the apparently oaks, saw a pair several times in that area. At 9am, April 30, Mulroy observed 2 adults and 2 chicks in nest. On 4 May 2019, Holmgren sees 2 nestlings with adult in nest that is apparently on a fallen oak.",Coast Live Oak,6,eBird S55574042,ID957,,,#REF!,
7901,Dark-eyed Junco,DEJU,34.43983,-119.74247,10,"Santa Barbara, San Roque Ck",61,29-Apr-2019,"Holmgren, M.",Feeding Fledgling,"2 adults tending 3 or 4 fledglings, one of those adults feeding one of them.",,,eBird S55583729. First fledgling of the year?,,https://tinyurl.com/yya2rxkd,https://tinyurl.com/yya2rxkd,#REF!,
7902,Lark Sparrow,LASP,34.77344,-119.64654,0,"Sierra Madre Mtns, Santa Barbara Potrero",1536,25-Apr-2019,"Gevirtz, E.",Egg in Nest,Male and female adult pair flushed from ground nest. Three eggs observed in cupped nest in grass on the ground.,ground,0,With M. Mulroy and N. Duenas. There are probably 10 or more breeding pairs of LaSp in Santa Barbara Potrero 24-26 April 2019.,ID958,https://tinyurl.com/y429r5qx,https://tinyurl.com/y429r5qx,#REF!,
7903,Orange-crowned Warbler,OCWA,34.4171,-119.6996,20,"Santa Barbara, Bradbury Ave",11,30-Apr-2019,"Compton, D.",Fledgling Begging,"Adult feeding constantly begging fledgling, moving together along Bradbury Ave.",,,"Atypical area for this ground-nesting species, in a mixed residential/commercial area in downtown Santa Barbara.",ID959,https://tinyurl.com/yy27wfgw,https://tinyurl.com/yy27wfgw,#REF!,
7904,Dark-eyed Junco,DEJU,34.4162,-119.69871,20,"Santa Barbara, Bradbury Ave",11,1-May-2019,"Compton, D.",Fledgling Begging,Persistent begging and close association with adult confirmed fledgling state.,,,"In mixed residential/commercial area of downtown Santa Barbara, where this species has become an expected, common breeder in recent years.",ID960,,,#REF!,
7905,Hairy Woodpecker,HAWO,34.43782,-119.76707,5,"Santa Barbara, Cieneguitas Ck",31,30-Apr-2019,"Ranson, H.",Nestling in Nest,"Male brought food straight to the nest cavity. Later female took food to the same location, accompanied by excited twitterings of the youngster.",willow (I believe),2,near Modoc Rd. Â Photo shows the nest hole.,ID961,https://tinyurl.com/yxux44hz,https://tinyurl.com/yxux44hz,#REF!,
7906,Blue Grosbeak,BLGR,34.69333,-120.03906,10,"Santa Ynez Valley, Sedgwick Reserve",334,1-May-2019,"Schneekloth, P.",Carrying Nesting Material,Pair near the ranch house collecting nesting material and mating seen to fly off with the nesting material towards a patch of mustard along the road to the pond.,,,eBird S55650058,ID962,https://tinyurl.com/y3ua2u8m,https://tinyurl.com/y3ua2u8m,#REF!,
7907,Bewick's Wren,BEWR,34.43218,-119.71175,5,"Santa Barbara, 1911 Santa Barbara St",60,12-Apr-2019,"Metsch, S.",Carrying Fecal Sac,"Nest in a birdhouse a foot from my window. Throughout the nesting, bugs being delivered and fecal sacs being removed and carefully placed on long horizontal branch. About 12 April 2019, a sac was placed on the branch where there were already 2 or 3 others. I caught subsequent depositing activity up to 24 or 25 April when they fledged",bird house,,Bird house hangs a foot out from a second story window.,ID963,https://tinyurl.com/y4n2c36n,https://tinyurl.com/y4n2c36n,#REF!,
7908,Killdeer,KILL,34.40743,-119.87762,10,"Goleta, COPR, CoaI Oil Point",7,2-May-2019,"Hubbard, D.",Fledgling under Parental Care,"One adult with two chicks (not ready for flight) foraging at high tide line. On 15 May, Hubbard saw 2 adults attending up to 3 fledglings. On 21 May, Hubbard had one fledgling. ",beach,0,This brood survived at least two weekends of beach recreation. It is likely that three young made it to flight capability.,ID964,,,#REF!,
7909,Nuttall's Woodpecker,NUWO,34.40142,-119.48987,10,Carpinteria Ck near Casitas Pass Rd,36,3-May-2019,"Callender, J.",Delivering Food to Nest or Cavity,Observed an adult female carry food into a nesting cavity,Western Sycamore,7,eBird S55714286,ID965,,,#REF!,
7910,European Starling,EUST,34.40156,-119.48696,5,"Carpinteria, Lillingston Cyn Rd",42,3-May-2019,"Callender, J.",Nestling in Nest,"Adult flew into cavity in a telephone pole, heard at least 3 nestlings clamoring from inside, then saw the adult leave with a fecal sac that it dropped a short distance away.",telephone pole,5,eBird S55714286,ID966,,,#REF!,
7911,Eurasian Collared-Dove,EUCD,34.41094,-119.8468,5,"Goleta, UCSB, MultiCultural Center",15,3-May-2019,"DeVille, M.",Carrying Nesting Material,One dove made multiple (5 or more) trips carrying twigs and sticks to nest. Another dove was in the nest calling out.,Red Trumpet Vine,2.1,Nest was in Red Trumpet Vine on the South side of the MultiCultural building,ID967,https://tinyurl.com/yxkb3cah,https://tinyurl.com/yxkb3cah,#REF!,
7912,House Finch,HOFI,34.4109,-119.8468,0.3,"Goleta, UCSB, MultiCultural Center",15,3-May-2019,"DeVille, M.",Carrying Nesting Material,Pair carrying nesting material to nest. Made at least two trips to nest.,Red Trumpet Vine,2.1,Nest in Red Trumpet vine on the south side of UCSB's MultiCultural building closer to the UCen than to the College of Creative Studies.,ID968,,,#REF!,
7913,Pied-billed Grebe,PBGR,34.60662,-120.19855,50,"Santa Ynez River, Buellton",96,3-May-2019,"Schneekloth, P.",Fledgling under Parental Care,2 adults with a group of fledglings,,,seen swimming in river bed west of bridges. eBird S55719048,ID969,https://tinyurl.com/y6zc93k5,https://tinyurl.com/y6zc93k5,#REF!,
7914,American Coot,AMCO,34.60666,-120.19855,50,"Santa Ynez River, Buellton",96,3-May-2019,"Schneekloth, P.",Fledgling under Parental Care,Two adults with 6 fledglings,,,river bed west of bridges. eBird S55719048,ID970,https://tinyurl.com/y3fju3pa,https://tinyurl.com/y3fju3pa,#REF!,
7915,Brewer's Blackbird,BRBL,34.93073,-120.48987,20,"Santa Maria Valley, Black Rd Flooded Pasture",56,3-May-2019,"Chavez, J.",Copulation,Observed male courtship display then male and female began copulating,,,,ID971,,,#REF!,
7916,Bewick's Wren,BEWR,34.92717,-120.6151,5,"Corralitos Cyn, Brown Rd",122,3-May-2019,"Chavez, J.",Carrying Nesting Material,"Observed one bird carrying nest material like willow down or spider web, carried into a woodpecker hole",Arroyo Willow,4,eBird S55718746,ID972,https://tinyurl.com/y355h74x,https://tinyurl.com/y355h74x,#REF!,
7917,European Starling,EUST,34.9269,-120.61646,20,"Corralitos Cyn, Brown Rd",127,3-May-2019,"Chavez, J.",Carrying Food,Observed one starling carrying food. Nest location was not visible,,,eBird S55718746,ID973,,,#REF!,
7918,White-tailed Kite,WTKI,34.42198,-119.79067,5,"Goleta, More Mesa East",28,19-Apr-2019,"White, M.",Fledgling out of Nest--Brancher,"Adult kite took rodent to nest, other adult kite stood guard on branches above. On 27 April 2019, White saw 1 chick out of nest on branches, adult kite flew into nest and out of view, much movement from inside. On 30 April 2019, White observed 3 chicks out of nest on branches. On 2 May 2019, Ellinwood and White saw 4 chicks on branches totally out of nest. Parents tend to sit on nearby Cypress trees watching over nest. Parents bringing food to young. Parents aggressively fly at the crows to run them off.",Coast Live Oak,13,3 April 2019 observed adult in CLO daily for the next week. Saw nest building between 3 and 27 April. Parents bringing food to young. Crows harass the kites. Parents aggressively fly at the crows to run them off.,ID974,https://tinyurl.com/y6d92n8c,https://tinyurl.com/y6d92n8c,#REF!,
7919,Red-tailed Hawk,RTHA,34.46122,-119.78816,25,"Goleta, Maria Ygnacia Ck, E fork",68,3-May-2019,"Holmgren, M.",Nestling in Nest,"Minimum of 2 nestlings with fluffy white head, very short tail, standing on edge of nest stretching short wings. Adult calling nearby. On 28 May 2019, Holmgren saw 2 large nestlings still in nest.",Eucalyptus,28,,ID975,,,#REF!,
7920,Western Bluebird,WEBL,34.4115,-119.8461,0.3,"Goleta, UCSB, College of Creative Studies",15,3-May-2019,"DeVille, M.",Nest Building,"In the morning, adult made two trips to bird house. Once bird carryied nesting material. Later, in the afternoon, bluebird peeked out of birdhouse.",bird house,1.8,,ID976,https://tinyurl.com/y6emdwoq,https://tinyurl.com/y6emdwoq,#REF!,
7921,House Finch,HOFI,34.43546,-119.82843,1,"Goleta, Old Town",6,2-May-2019,"Fontaine, D.",Egg in Nest,Female coming and going from a nest with 2 eggs in it.,shade structure,2.5,Nest is in a shade structure on the back patio of Old Town Coffee (5877 Hollister).,ID977,https://tinyurl.com/y4t3mvd3,https://tinyurl.com/y4t3mvd3,#REF!,
7922,Pacific-slope Flycatcher,PSFL,34.4567,-119.70956,1,Santa Barbara Botanic Garden,230,2-May-2019,"Fontaine, D.",Adult at Nest (clarify),Adult sitting on a nest.,under eaves of walkway,3,Shown to me by Scott Pipkin. Under the eaves of the second story walk-way.,ID978,,,#REF!,
7923,European Starling,EUST,34.45728,-119.80926,20,"Goleta, San Jose Ck nr North Patterson Ave",39,4-May-2019,"Compton, D.",Nestling in Nest,"Adult feeding begging nestlings (one seen, multiple heard begging) at cavity entrance.",utility pole,15,eBird S55776574,ID979,,,#REF!,
7924,Oak Titmouse,OATI,34.45686,-119.80961,20,"Goleta, San Jose Ck nr North Patterson Ave",35,4-May-2019,"Compton, D.",Nestling in Nest,"Adult delivering food to cavity 14m high in sycamore to constantly begging nestlings, which were heard only.",Western Sycamore,14,eBird S55776574,ID980,,,#REF!,
7925,Dark-eyed Junco,DEJU,34.45724,-119.81038,20,"Goleta, San Jose Ck nr North Patterson Ave",30,4-May-2019,"Compton, D.",Feeding Fledgling,Pair and fledgling with short tail; multiple trips to begging and one feeding witnessed.,,,eBird S55776574,ID981,,,#REF!,
7926,Orange-crowned Warbler,OCWA,34.45625,-119.8108,20,"Goleta, San Jose Ck nr North Patterson Ave",29,4-May-2019,"Compton, D.",Fledgling Begging,"2 gray-brown fledglings with wing bars, begging.",,,eBird S55776574,ID982,,,#REF!,
7927,Anna's Hummingbird,ANHU,34.45636,-119.81043,20,"Goleta, San Jose Ck nr North Patterson Ave",32,4-May-2019,"Compton, D.",Feeding Fledgling,"Female feeding fledgling, which was following it around.",,,eBird S55776574,ID983,,,#REF!,
7928,Pacific-slope Flycatcher,PSFL,34.45642,-119.81066,20,"Goleta, San Jose Ck nr North Patterson Ave",29,4-May-2019,"Compton, D.",Adult at Nest (clarify),"Was off nest (or came off nest) as I walked by, but then flew to nest, stood on the edge, then settled in to the middle of the nest, sitting low and probably incubating.","Western Sycamore, poison oak",2.5,eBird S55776574,ID984,https://tinyurl.com/y4gfqeka,https://tinyurl.com/y4gfqeka,#REF!,
7929,Bushtit,BUSH,34.41991,-119.85005,20,"Goleta, UCSB, Environmental Health and Safety swale",14,4-May-2019,"Compton, D.",Feeding Fledgling,"Family group of 10 or more birds moving in coyote brush; fledglings were persistent begging and one feeding was witnessed.On 17 May 2019, Holmgren saw continued feeding of fledglings.",,,eBird S55784794,ID985,,,#REF!,
7930,Northern Mockingbird,NOMO,34.41987,-119.84999,20,"Goleta, UCSB, Environmental Health and Safety swale",14,4-May-2019,"Compton, D.",Fledgling Begging,"Agitated pair around coyote brush stand, where begging was coming from two different begging locations,. Eventually witnessed a food carry into the area with begging.",,,eBird S55784794,ID986,,,#REF!,
7931,Cliff Swallow,CLSW,34.45498,-119.75993,10,San Marcos Foothills,88,4-May-2019,"Holmgren, M.",No suitable category,"12 individuals coming in regularly to far-from-complete nests on the N side of apartment building. They seem to not be carrying mud, but maybe they are nest building.",building,5,,ID987,,,#REF!,
7932,Hooded Oriole,HOOR,34.45675,-119.76008,5,"San Marcos Foothills, Central",106,4-May-2019,"Holmgren, M.",Nest Building,"Adult bringing large cloud of white, fluffy stuff to nest.",palm,6,"Church parking lot.  Adrian, I think I entered this Hooded Oriole nest into the previous Cliff Swallow record. OOOps!",ID988,https://tinyurl.com/y4udt4yo,https://tinyurl.com/y4udt4yo,#REF!,
7933,Bewick's Wren,BEWR,34.46064,-119.76202,10,"San Marcos Foothills, Central",110,4-May-2019,"Holmgren, M.",Delivering Food to Nest or Cavity,"2 adults present, one trying despite my presence, then succeeding, delivery of small insect to knot hole in oak. A second small-item delivery seen.",Coast Live Oak,2.2,Atascadero Ck,ID989,,,#REF!,
7934,Song Sparrow,SOSP,34.46215,-119.76122,15,"San Marcos Foothills, Central",120,4-May-2019,"Holmgren, M.",Carrying Food,Adults making back and forth trips carrying food to this approximate location. Pair very aggressive in defending site.,,,No nest located. Atascadero Ck.,ID990,,,#REF!,
7935,Swainson's Hawk,SWHA,34.921,-119.706,5000,Cuyama Valley ,,4-May-2019,,Copulation,"Male is the light-colored bird; female dark. on 12 July 2019, Haupt and Holmgren (with Courtney) looked for nest, pair present. One fledgling seen on 20 August 2019.",,,Seen here also last summer quite territorial.,e-mail to MAH,,,#REF!,
7936,Black Phoebe,BLPH,34.46993,-120.25252,25,"Gaviota Coast, Hollister Ranch, Agua Caliente Ck",150,28-Apr-1977,"Schroeder, D.",Nestling in Nest,3 late-pin nestlings banded,bridge,,Site B402,Schroeder nest records,,,#REF!,
7937,Black Phoebe,BLPH,34.4766,-120.02027,25,"Gaviota Coast, Canada del Capitan",89,14-May-1977,"Schroeder, D.",Egg in Nest,"4 cold eggs. On 26 May 1977, 3 cold eggs and 1 broken egg.",bridge,,Site B406. upper El Cap Ranch Park Camp,Schroeder nest records,,,#REF!,
7938,Black Phoebe,BLPH,34.52338,-120.20568,25,Nojoqui Summit,224,24-Apr-1977,"Schroeder, D.",Egg in Nest,"2 cold, fresh eggs. On 11 May 1977, 4 warm eggs. On 23 May 1977, nest gone, suspected failure.",bridge,,Site B409. 1 mi SW Summit,Schroeder nest records,,,#REF!,
7939,Black Phoebe,BLPH,34.46459,-120.06975,25,"Gaviota Coast, Refugio State Beach",11,11-Jun-1977,"Schroeder, D.",Nestling in Nest,"4 fresh eggs. On 23 June 1977, 4 warm eggs. On 30 June 1977, 3 downy nestlings. On 6 July 1977, 2 dead brush nestlings, suspected nest failure.",bridge,,Site B421,Schroeder nest records,,,#REF!,
7940,Black Phoebe,BLPH,34.45754,-119.85164,25,"Goleta, La Patera Ranch",51,21-Apr-1978,"Schroeder, D.",Nestling in Nest,"5 warm eggs. On 11 May 1978, 5 brush nestlings banded.",bridge,,Site B424,Schroeder nest records,,,#REF!,
7942,Bushtit,BUSH,34.44337,-119.84456,20,"Goleta, Lake Los Carneros",20,5-May-2019,"Compton, D.",Feeding Fledgling,"8+ individuals, with constant begging; feeding of fledgling witnessed",,,,ID991,,,#REF!,
7943,Bullock's Oriole,BUOR,34.44401,-119.84477,20,"Goleta, Lake Los Carneros",20,5-May-2019,"Compton, D.",Nest Building,"Nest nearly complete, but not occupied, since the sunlight was shining through the bottom of the nest. Later, a bird moved around in the nest, then a female exited, not carrying any material away from the nest.",Red Gum Eucalyptus,25,,ID992,,,#REF!,
7944,Western Kingbird,WEKI,34.44402,-119.84492,20,"Goleta, Lake Los Carneros",20,5-May-2019,"Compton, D.",Nest Building,"One carrying grasses to the eucalyptus stand. Later carrying unidentified material near the nest. Later, three trips to the nest site, where the pair had collected only a small amount of material so far. Never seen to carry anything away from the structure.",Red Gum Eucalyptus,22,,ID993,,,#REF!,
7945,Black Phoebe,BLPH,34.44357,-119.84489,20,"Goleta, Lake Los Carneros",20,5-May-2019,"Compton, D.",Feeding Fledgling,"Adult feeding one of three consistently begging, mobile fledglings staying relatively close together.",,,,ID994,,,#REF!,
7946,Red-tailed Hawk,RTHA,34.44392,-119.84451,5,"Goleta, La Patera Ln",19,5-May-2019,"Pearlman, K.",Nestling in Nest,"Single chick was visible in the nest moving around and stretching its wings.  On 21 May 2019, Pearlman saw 2 nestlings. )n 7 June 2019, Mooney reports fledgling with adult presumed to be from this nest.",Eucalyptus tree,19,With J. Chen. Same nest as noted in Rec #6331 from 2018. Across-the-street neighbor reports that this is (at least) the 4th consecutive year this nest has produced RTHA young.,ID995,https://tinyurl.com/yyblefay,https://tinyurl.com/yyblefay,#REF!,
7947,Northern Flicker,NOFL,34.54093,-119.84909,15,"Santa Ynez Valley, Kelly Ck at Paradise Rd",274,5-May-2019,"Holmgren, M.",Visiting Probable Nest Site,"Female entering cavity, bringing small and large brown stuff out.",Coast Live Oak,10,Perhaps preparing cavity in dead oak for nesting.,ID996,,,#REF!,
7948,Black Phoebe,BLPH,34.54007,-119.84914,10,"Santa Ynez Valley, Kelly Ck at Paradise Rd",271,5-May-2019,"Holmgren, M.",Nestling in Nest,4 deliveries of small food items to nest at NW corner of bridge abutment.,bridge,3.5,,ID997,,,#REF!,
7949,Northern Rough-winged Swallow,NRWS,34.54002,-119.84897,5,"Santa Ynez Valley, Kelly Ck at Paradise Rd",270,5-May-2019,"Holmgren, M.",Visiting Probable Nest Site,Adults flying into vertical drains in bottom of cement bridge.,bridge,20,,ID998,,,#REF!,
7950,Bushtit,BUSH,34.53996,-119.84892,20,"Santa Ynez Valley, Kelly Ck at Paradise Rd",269,5-May-2019,"Holmgren, M.",Carrying Food,Single adult carrying larger food item on upstream side of bridge.,,,,ID999,,,#REF!,
7951,Blue-gray Gnatcatcher,BGGN,34.5489,-120.1392,20,Alisal Rd,169,6-May-2019,"Schneekloth, P.",Carrying Nesting Material,Two adults carrying nesting material to the same spot on a branch 3 times. With careful observation was finally able to detect what seemed to be the nest structure.,Coast Live Oak,15,near Alisal Resevoir. Birds left nesting material at the center spot of the attached photo 3 times. Nest is otherwise undetectable.,ID1000,https://tinyurl.com/y6d5egvk,https://tinyurl.com/y6d5egvk,#REF!,
7952,Phainopepla,PHAI,34.46227,-119.75849,5,San Marcos Foothills,170,6-May-2019,"Mulroy, M.",Feeding Fledgling,Adult feeding fledgling.Â ,Coast Live Oak,3,N on ridge dividing Cieneguitas from Atascadero watersheds. I had previously observed phainopeplas in this area and suspected there was a nest location nearby.,ID1001,Yes,,#REF!,
7953,Lesser Goldfinch,LEGO,34.46237,-119.75874,2,San Marcos Foothills,172,6-May-2019,"Mulroy, M.",Nestling in Nest,Adult delivering food to nest with chicks.,Coast Live Oak,4,,ID1002,,,#REF!,
7954,House Wren,HOWR,34.46339,-119.75654,5,"San Marcos Foothills, No-name Creek",174,6-May-2019,"Mulroy, M.",Nestling in Nest,Heard noisy chicks in oak cavity. Adult appeared and made scolding/alarm calls.,Coast Live Oak,3,,ID1003,,,#REF!,
7955,Great Horned Owl,GHOW,34.45002,-119.84571,5,"Goleta, Stow Grove Park",28,6-May-2019,"Pearlman, K.",Fledgling under Parental Care,"Adult and fledgling perched in bare or dead redwood; perched on separate branches about 2 m. apart at a height of about 25 m. On 8 May 2019, Pearlman saw 2 adults; 3 fledglings perched in close proximity at about 60 m. height in redwood at 34.44939, -119.84580",,,"Photos of adult, as well as both together, available if needed.",ID1004,https://tinyurl.com/y3yl96hg,https://tinyurl.com/y3yl96hg,#REF!,
7956,Anna's Hummingbird,ANHU,34.49625,-119.80336,15,"Santa Ynez Mtns, San Jose Ck",361,7-May-2019,"Holmgren, M.",Egg in Nest,Nest with female sitting on at least one egg.,California Bay,1.5,White Lotus property,ID1005,https://tinyurl.com/yyrzw7um,https://tinyurl.com/yyrzw7um,#REF!,
7957,House Wren,HOWR,34.49524,-119.80342,15,"Santa Ynez Mtns, San Jose Ck",353,7-May-2019,"Holmgren, M.",Delivering Food to Nest or Cavity,"Twice carried food to delivery spot behind loose bark, singing bird nearby",Coast Live Oak,5,White Lotus property,ID1006,,,#REF!,
7958,Dark-eyed Junco,DEJU,34.49536,-119.80421,15,"Santa Ynez Mtns, San Jose Ck",383,7-May-2019,"Holmgren, M.",Feeding Fledgling,Adult feeding full-tailed fledgling,,,White Lotus property,ID1007,,,#REF!,
7959,Dark-eyed Junco,DEJU,34.49683,-119.80305,15,"Santa Ynez Mtns, San Jose Ck",377,7-May-2019,"Holmgren, M.",Nestling in Nest,"Pair tending, adult feeding downy nestling on ground",ground,0,White Lotus property,ID1008,,,#REF!,
7960,Black Phoebe,BLPH,34.47282,-120.21903,15,"Gaviota Coast, Canada del Barro",30,30-Apr-1978,"Schroeder, D.",Nestling in Nest,"4 warm eggs. On 19 May 1978, 4 downy nestlings. On 27 May 1978, 4 dead nestlings, suspected nest failure.",bridge,,"B506N. Hwy 101, drain W of Gaviota Restaurant",Schroeder nest records,,,#REF!,
7961,Cliff Swallow,CLSW,34.47286,-120.21903,15,"Gaviota Coast, Canada del Barro",30,29-May-1979,"Schroeder, D.",Nest in Use (clarify),Active nest,bridge,,"B506N. Hwy 101, drain W of Gaviota Restaurant",Schroeder nest records,,,#REF!,
7962,Barn Swallow,BARS,34.47278,-120.21903,15,"Gaviota Coast, Canada del Barro",30,10-Jun-1980,"Schroeder, D.",Nestling in Nest,Nest with 2 late-pin nestlings.,bridge,,"B506N, Hwy 101, drain W of Gaviota Restaurant",Schroeder nest records,,,#REF!,
7963,Black Phoebe,BLPH,34.47414,-120.29383,15,"Gaviota Coast, Hollister Ranch",17,8-May-1979,"Schroeder, D.",Nestling in Nest,4 or more mid-sized nestlings,bridge,,"B521. Sacate Ck, Rancho Real",Schroeder nest records,,,#REF!,
7964,Cliff Swallow,CLSW,34.47418,-120.29383,15,"Gaviota Coast, Hollister Ranch",17,14-Jul-1980,"Schroeder, D.",Nest in Use (clarify),Some active nests.,bridge,,"B521. Sacate Ck, Rancho Real",Schroeder nest records,,,#REF!,
7965,Dark-eyed Junco,DEJU,34.44914,-119.84568,3,"Goleta, Stow Grove Park",27,7-May-2019,"Pearlman, K.",Juvenile Independent,Two juveniles foraging on the ground,,,,ID1009,https://tinyurl.com/yy4vx53t,https://tinyurl.com/yy4vx53t,#REF!,
7966,Black Phoebe,BLPH,34.4506,-119.84562,3,"Goleta, Stow Grove Park",29,7-May-2019,"Pearlman, K.",Feeding Fledgling,Family group of 2 adults and 2 fledglings being repeatedly fed by both adults over a 15-min. period.,,,,ID1010,https://tinyurl.com/y4udf3dr,https://tinyurl.com/y4udf3dr,#REF!,
7967,Red-tailed Hawk,RTHA,34.88525,-120.28164,20,"Sisquoc, Santa Maria Mesa Rd",160,7-May-2019,"Deacon, J.",Nestling in Nest,"In late April, I observed this nest structure with an adult on it. On 7 May 2019, I could see at least one chick on the nest. On 1 June 2019, Deacon reports 3 brancher nestlings.",power pole,15,,ID1012,https://tinyurl.com/y3tzo2xt,https://tinyurl.com/y3tzo2xt,#REF!,
7968,Chipping Sparrow,CHSP,34.69289,-120.04058,10,"Santa Ynez Valley, Sedgwick Reserve",339,8-May-2019,"Schneekloth, P.",Copulation,Copulation twice within several minutes,,0,eBird S56016667,ID1013,https://tinyurl.com/y5em34m3,https://tinyurl.com/y5em34m3,#REF!,
